id,diva_field,file_name,year,month,day,mode,sample_type,sample_id,en_field,chem_field,plant_field,species_code,tune_page,project_name,ms_method,uplc_method,ms_mode,asoc_blank,asoc_rti,rti_pass,notes,all_inga,chemocoding,raw_check,mzxml,updated,error message
1988,DN2143,DN2143,2016,Apr,14,Negative,Sample,EN2143,2143,cLA1186,,LA46,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_347,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2143""}"
1989,DN2144,DN2144,2016,Apr,14,Negative,Sample,EN2144,2144,cM765,,M60,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_347,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2144""}"
1990,DN2145,DN2145,2016,Apr,14,Negative,Sample,EN2145,2145,cT473,,T75,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_347,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2145""}"
1991,DN2146,DN2146,2016,Apr,14,Negative,Sample,EN2146,2146,cleg852,,PITR,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_347,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2146""}"
1997,DN2147,DN2147,2016,Apr,15,Negative,Sample,EN2147,2147,cT791,,T29,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_172,RN17_350,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2147""}"
1998,DN2148,DN2148,2016,Apr,15,Negative,Sample,EN2148,2148,cM881,1203,M40,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_172,RN17_350,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2148""}"
2000,DN2150,DN2150,2016,Apr,15,Negative,Sample,EN2150,2150,cM572,,M40,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_172,RN17_350,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2150""}"
2001,DN2151,DN2151,2016,Apr,15,Negative,Sample,EN2151,2151,cT929,1695,T33,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_172,RN17_350,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2151""}"
2002,DN2152,DN2152,2016,Apr,15,Negative,Sample,EN2152,2152,cLEG770,10010,PITR,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_172,RN17_350,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2152""}"
2003,DN2153,DN2153,2016,Apr,15,Negative,Sample,EN2153,2153,cLA3517,,LA44,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_172,RN17_350,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2153""}"
2004,DN2154,DN2154,2016,Apr,15,Negative,Sample,EN2154,2154,cT839,,T75,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_172,RN17_350,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2154""}"
2005,DN2155,DN2155,2016,Apr,15,Negative,Sample,EN2155,2155,cFG98,,N38,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_172,RN17_350,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2155""}"
2006,DN2156,DN2156,2016,Apr,15,Negative,Sample,EN2156,2156,cT121,556,T60,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_172,RN17_351,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2156""}"
2007,DN2157,DN2157,2016,Apr,15,Negative,Sample,EN2157,2157,cLEG837,10139,PITR,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_172,RN17_351,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2157""}"
2013,DN2158,DN2158,2016,Apr,16,Negative,Sample,EN2158,2158,cLEG872,,IngSP,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2158""}"
2014,DN2159,DN2159,2016,Apr,16,Negative,Sample,EN2159,2159,cM502,1469,M18,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2159""}"
2015,DN2160,DN2160,2016,Apr,16,Negative,Sample,EN2160,2160,cFG848,,N32,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2160""}"
2016,DN2161,DN2161,2016,Apr,16,Negative,Sample,EN2161,2161,cM292,,M18,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2161""}"
2017,DN2162,DN2162,2016,Apr,16,Negative,Sample,EN2162,2162,cLEG746,,IngS,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2162""}"
2018,DN2163,DN2163,2016,Apr,16,Negative,Sample,EN2163,2163,cT460,,T76,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2163""}"
2019,DN2164,DN2164,2016,Apr,16,Negative,Sample,EN2164,2164,cFG402,,N32,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2164""}"
2020,DN2165,DN2165,2016,Apr,16,Negative,Sample,EN2165,2165,cLA858,,LA42,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2165""}"
2021,DN2166,DN2166,2016,Apr,16,Negative,Sample,EN2166,2166,cLA3064,64,LA62,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2166""}"
2022,DN2167,DN2167,2016,Apr,16,Negative,Sample,EN2167,2167,cleg853,10171,PITR,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_353,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2167""}"
