id,sample,species_code_sample,rt,mz,pc_id,tic,date_update,error message
1067,DN1399,LA10_1399_2,30.1606,452.2759,LA10_153,3320.5937,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1068,DN1399,LA10_1399_2,9.0568,453.1016,LA10_125,3425.6815,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1069,DN1399,LA10_1399_2,7.2771,453.2683,LA10_4,423.7757,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1070,DN1399,LA10_1399_2,7.2771,454.2702,LA10_4,99.1563,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1071,DN1399,LA10_1399_2,19.6795,455.1341,LA10_137,3311.3781,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1072,DN1399,LA10_1399_2,8.4148,457.1337,LA10_167,1268.2521,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1073,DN1399,LA10_1399_2,15.1197,459.0926,LA10_8,2719.4557,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1074,DN1399,LA10_1399_2,11.0778,461.0715,LA10_7,6622.8249,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1075,DN1399,LA10_1399_2,15.1128,461.1082,LA10_8,63541.2184,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1076,DN1399,LA10_1399_2,11.0779,462.0776,LA10_7,3432.6575,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1077,DN1399,LA10_1399_2,15.1025,462.1121,LA10_8,14326.9489,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1078,DN1399,LA10_1399_2,11.0881,463.0877,LA10_7,81686.3192,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1079,DN1399,LA10_1399_2,11.2987,463.0871,LA10_57,16434.1437,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1080,DN1399,LA10_1399_2,15.1128,463.1145,LA10_8,2369.7452,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1081,DN1399,LA10_1399_2,11.0724,464.0907,LA10_7,17270.6333,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1082,DN1399,LA10_1399_2,11.0707,465.0933,LA10_7,3706.2635,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1083,DN1399,LA10_1399_2,8.4506,465.1025,LA10_29,9480.6813,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1084,DN1399,LA10_1399_2,9.1776,465.1019,LA10_103,4499.0702,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1085,DN1399,LA10_1399_2,14.1331,465.1016,LA10_11,3077.4358,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1086,DN1399,LA10_1399_2,11.3209,477.1031,LA10_54,7758.1974,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1087,DN1399,LA10_1399_2,11.5596,477.1025,LA10_77,1641.6265,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1088,DN1399,LA10_1399_2,30.2680,480.3088,LA10_71,7327.9820,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1089,DN1399,LA10_1399_2,27.7693,502.2939,LA10_119,3504.1457,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1090,DN1399,LA10_1399_2,29.2111,504.3088,LA10_78,7710.7414,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1091,DN1399,LA10_1399_2,8.2182,526.1209,LA10_60,4019.9837,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1092,DN1399,LA10_1399_2,8.2083,526.6224,LA10_60,2219.4106,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1093,DN1399,LA10_1399_2,30.2735,540.3294,LA10_71,4296.9538,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1094,DN1399,LA10_1399_2,29.2146,564.3298,LA10_78,4601.5116,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1095,DN1399,LA10_1399_2,19.3157,577.1345,LA10_39,17618.6383,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1096,DN1399,LA10_1399_2,14.9545,577.1342,LA10_68,11114.3450,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
